Age,Gender,Nationality,Annual Income,Education,Employment,Flight Frequency (Annual),Primary Travel Reason,Loyalty Programs,Preferred Flight Class,Booking Method,Food Importance (1-5),Prefers Personalized Entertainment,Willing to Pay for Sustainability,Carbon Footprint Importance (1-5),Used Chauffeur Service,Willing to Upgrade to Premium Economy,Chauffeur Service Influences Booking,Extra Willingness to Pay for Meals (USD),Willingness to Pay More (%),Personalized App Improves Experience,Interest in Personalized Entertainment,Top Frustrations,Airline Selection Values,Useful In-App Features,Faced App Challenges,Type of Challenge,Beta Test Interest,Likelihood to Use Personalized App (1-5),Interest in Personalized Flying Experience
51,Male,India,110459,Bachelor’s,Employed,2–4,Family,,Premium Economy,Travel Aggregator,4,Yes,Yes,4,No,Yes,No,23.77,0–10%,Yes,Yes,"Inflight Entertainment, Cleanliness","Comfort, Technology","AI-based Entertainment, Airport Map & Navigation",No,,Yes,4,High
39,Male,USA,84010,High School,Retired,2–4,Business,Emirates Skywards,Economy,Agent,5,Indifferent,No,1,No,Maybe,Maybe,54.06,>30%,Yes,Yes,"Food Quality, Cleanliness","Service Quality, Environmental Responsibility","Sustainability Score, AI-based Entertainment",No,,Yes,5,Very High
43,Male,Philippines,145482,High School,Retired,2–4,Business,,Economy,Airline App,5,Yes,No,4,Yes,No,Yes,35.97,0–10%,Yes,Yes,"Food Quality, Check-in Process, Sustainability","Price, Environmental Responsibility, Loyalty Program",AI-based Entertainment,No,,Yes,5,Very High
57,Male,UAE,80763,Doctorate,Employed,0–1,Business,Emirates Skywards,Premium Economy,Travel Aggregator,1,No,Maybe,5,No,Maybe,Maybe,37.79,11–20%,Yes,Yes,"Food Quality, Inflight Entertainment, Cleanliness","Comfort, Environmental Responsibility, Loyalty Program",Seat Upgrade Suggestions,No,,Maybe,1,High
37,Female,USA,98020,Master’s,Employed,2–4,Leisure,Qatar Privilege Club,Economy,Travel Aggregator,3,Indifferent,Maybe,5,No,Yes,Yes,22.51,0–10%,Yes,Yes,"Food Quality, Inflight Entertainment, Customer Service","Comfort, Service Quality, Environmental Responsibility, Technology",,No,,Maybe,1,Very High
35,Female,UK,99135,High School,Unemployed,5–7,Family,"Emirates Skywards, Other",Economy,Airline App,5,Yes,No,5,No,Maybe,Maybe,28.3,11–20%,Yes,Yes,"Delays, Food Quality, Inflight Entertainment","Environmental Responsibility, Technology",,No,,No,3,Moderate
60,Male,UAE,39124,Bachelor’s,Employed,2–4,Family,Emirates Skywards,Premium Economy,Agent,3,No,No,4,No,Yes,Yes,18.53,11–20%,Yes,Yes,Cost,"Environmental Responsibility, Technology",Seat Upgrade Suggestions,Yes,User Interface,Yes,4,Low
48,Female,USA,128952,Bachelor’s,Unemployed,5–7,Leisure,,Economy,Other,4,No,Maybe,3,No,Maybe,No,36.66,0–10%,No,No,Sustainability,Comfort,"Sustainability Score, Real-time Luggage Tracker",Yes,Lack of Features,Maybe,5,Moderate
36,Female,India,82737,Master’s,Employed,2–4,Leisure,Qatar Privilege Club,Economy,Travel Aggregator,3,Indifferent,No,1,No,Maybe,No,23.34,11–20%,Yes,Maybe,Sustainability,"Price, Technology",Seat Upgrade Suggestions,No,,Yes,1,Moderate
45,Male,UK,92481,High School,Employed,0–1,Family,Emirates Skywards,Premium Economy,Airline App,1,Yes,Yes,3,No,Yes,Maybe,28.34,21–30%,Yes,Yes,"Food Quality, Inflight Entertainment, Cost, Customer Service, Cleanliness","Price, Comfort","Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,3,High
38,Male,UAE,41760,Bachelor’s,Employed,8+,Business,Other,Premium Economy,Travel Aggregator,2,Yes,Yes,3,No,Maybe,No,27.41,0–10%,Yes,Yes,Cleanliness,,"Seat Upgrade Suggestions, AI-based Entertainment, Airport Map & Navigation",No,,Yes,3,Very High
30,Female,UK,66551,Master’s,Employed,2–4,Business,Other,Economy,Agent,2,Yes,Maybe,2,No,Maybe,Yes,24.73,0–10%,Yes,Yes,Customer Service,,,Yes,Slow Performance,No,3,Moderate
52,Female,India,170546,High School,Student,2–4,Other,,Economy,Travel Aggregator,1,Indifferent,Yes,1,No,Maybe,Yes,69.07,0–10%,Yes,Yes,,"Comfort, Service Quality, Technology","Seat Upgrade Suggestions, Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,1,High
17,Female,Philippines,99371,Bachelor’s,Unemployed,5–7,Leisure,Etihad Guest,Economy,Airline App,2,Indifferent,Maybe,4,No,Yes,Yes,15.0,21–30%,Yes,No,"Delays, Cleanliness",Service Quality,"Sustainability Score, Real-time Luggage Tracker",No,,Yes,2,Moderate
26,Male,UAE,116228,Other,Employed,2–4,Other,Emirates Skywards,Economy,Travel Aggregator,1,Yes,Yes,2,No,Yes,Yes,14.86,21–30%,Yes,No,Sustainability,,,Yes,Slow Performance,Yes,3,High
29,Male,UK,43883,Bachelor’s,Employed,5–7,Leisure,Etihad Guest,Premium Economy,Airline App,5,Yes,No,2,No,Maybe,Yes,35.41,21–30%,Yes,Maybe,"Inflight Entertainment, Cost, Customer Service, Sustainability",Environmental Responsibility,,No,,Maybe,2,Moderate
